name,position,rating
coleman,rb,84
de gea,gk,90
rooney,cam,84
ramsey,cm,84
thiago,cm,84
howedes,cb,84
xhaka,cm,84
matic,cdm,84
smalling,cb,84
javi martinez,cb,84
cahill,cb,83
musacchio,cb,83
sneijder,cam,83
oscar,cam,83
quaresma,rm,83
nolito,lw,83
carvajal,rb,83
giroud,st,83
giovinco,cf,83
slimani,st,83
trapp,gk,83
gimenez,cb,83
baines,lb,83
gameiro,st,83
karnezis,gk,82
florenzi,rb,8
jagielka,cb,83
sirigu,gk,82
n'zonzi,cdm,82
morata,st,82
icardi,st,82
costil,gk,82
pirlo,cm,82
skrtel,cb,82
sterling,lw,82
vardy,st,82
evra,lb,82
gabi,cm,82
bailly,cb,82
raffael,cf,82
marchetti,gk,82
sagna,rb,82
guardado,cm,82
rulli,gk,82
de vrij,cb,82
danilo pereira,cdm,82
horn,gk,82
barkley,cam,81
walcott,lm,81
jose callejon,rw,81
andre andre,cm,81
volland,st,81
promes,rm,81
ganso,cam,81
coquelin,cdm,81
fernandinho,cm,81
tremoulinas,lb,81
bakambu,st,81
astori,cb,81
bruno peres,rwb,81
victor ruiz,cb,81
jovetic,st,81
de marcos,rb,81
kante,cm,81
parolo,cm,81
batshuayi,st,81
cabaye,cdm,81
camacho,cdm,81
lucas perez,st,81
deulofeu,rm,81
fernando torres,st,81
marco asensio,cam,81
daniel carrico,cb,81
mccarthy,cdm,81
dzagoev,cm,81
mirante,gk,81
tiago,cm,81
sergio asenjo,gk,81
welbeck,st,81
rose,lb,80
murillo,cb,80
sorrentino,gk,80
rode,cdm,80
guilavogui,cdm,80
perotti,cf,80
kampl,cm,80
gibbs,lb,80
clichy,lb,80
kolodziejczak,cb,80
noboa,cm,80
zouma,cb,80
adrian,gk,80
saponara,cam,80
asamoah,cm,80
shaw,lb,80
neto,gk,80
williams,rw,80
manuel fernandes,cam,80
baumann,gk,80
mangala,cb,80
gaya,lb,80
bruma,cb,80
topal,cdm,80
eder,st,80
inan,cm,80
zaha,rm,79
visca,rm,79
wernbloom,cdm,79
badstuber,cb,79
tah,cb,79
sane,rm,79
lanzini,cam,79
joao cancelo,rb,79
rugani,cb,79
correa,st,79
montero,lm,79
gradel,lw,79
young,lm,79
bernard,cam,79
brooks,cb,79
mane,rm,79
goretzka,cm,79
montoya,rb,79
bernat,lb,79
fernando,cdm,79
fernandez,cam,79
maxwell,lb,79
samaris,cdm,79
joaozinho,lm,79
tosic,rm,79
kovacic,cm,79
menez,st,79
radu,lb,79
musa,st,78
carroll,st,78
aboubakar,st,78
stones,cb,78
el kaddouri,cm,78
mikel,cdm,78
diouf,st,78
tiote,cdm,78
montolivo,cdm,78
nkoudou,lm,78
mario rui,lb,78
lennon,rm,78
dyer,rm,77
vangioni,lb,77
long,st,77
zarate,st,77
dembele,rm,77
n'doye,cm,77
andre pinto,cb,77
van damme,cb,77
de preville,st,77
alessandrini,rm,77
depoitre,st,77
rashford,st,76
sanchez,cdm,76
utaka,st,76
balta,cb,76
bovo,cb,76
tettey,cdm,76
muriel,st,76
emenike,st,76
elia,lw,76
aziz,cb,76
embolo,rm,76
deeney,st,76
onuoha,cb,76
bastos,cb,76
aquino,lm,76
michel macedo,rb,75
barrow,rw,75
mcgeady,rm,75
hansen,cb,75
almiron,cm,75
esiti,cdm,75
donsah,cm,75
nakoulma,lm,75
traore,st,75
diaby,st,75
heller,rm,75
asare,cb,75
kishna,lw,75
lodi,cdm,75
cillessen,gk,81
bernardo silva,rm,81
mitroglou,st,81
ansaldi,lb,80
jonathan viera,lm,80
baier,cdm,80
zoet,gk,80
kalinic,st,80
sidnei,cb,80
granqvist,cb,80
diaz,cm,80
lucas leiva,cdm,80
castan,cb,80
afellay,cam,79
stepanenko,cdm,79
babacan,gk,79
lombaerts,cb,79
kiko casilla,gk,79
kums,cm,79
digne,lb,79
sergi darder,cm,79
jones,cb,79
romero,gk,79
vrsaljko,rb,79
mbokani,st,79
dann,cb,79
weigl,cdm,79
toure,cb,79
defour,cm,79
spahic,cb,79
trashorras,cm,79
fernandez,cb,79
demichelis,cb,79
agirretxe,st,79
ghoulam,lb,79
luiz adriano,st,79
khazri,lm,79
brandt,lm,79
valbuena,rw,79
canales,cam,79
marcano,cb,79
gutierrez,st,79
doucoure,cm,78
vicente gomez,cm,78
trasch,rb,78
pablo sarabia,lm,78
wollscheid,cb,78
ederson,gk,78
petros,cdm,78
mignolet,gk,78
joaquin,rm,78
elm,cm,78
torrico,gk,78
mexer,cb,78
kimmich,cm,78
subotic,cb,78
cleverley,cm,78
charles,st,78
cesar,cb,78
de jong,cdm,78
jourdren,gk,78
saivet,cm,78
cattermole,cdm,78
gentner,cm,78
van der wiel,rb,78
guilherme,gk,78
luisao,lb,78
tosun,st,78
ighalo,st,78
cristoforo,cdm,78
ivan cuellar,gk,78
casteels,gk,78
janssen,st,78
dost,st,78
chadli,lm,78
adriano,lb,78
destro,st,78
kie ling,st,78
sanabria,st,78
raggi,cb,78
xabi prieto,rm,78
zapata,st,78
migue lopes,rb,78
jozabed,cam,78
heurtaux,cb,78
ki sung yueng,cm,78
birsa,cam,78
kucher,cb,78
diego llorente,cb,78
matri,st,78
choupo-moting,lm,78
cork,cdm,78
lodygin,gk,78
perez,cb,78
orion,gk,78
rafinha,rb,78
dja djedje,rb,77
rukavina,rb,77
bigas,cb,77
vargas,cf,77
gerhardt,cm,77
pardo,rw,77
alario,st,77
dawson,cb,77
finnbogason,st,77
gargano,cdm,77
pezzella,cb,77
bicakcic,cb,77
pienaar,lm,77
david lopez,cdm,77
saiss,cdm,77
matip,cb,77
chiriches,cb,77
zappacosta,rwb,77
thomas,cb,77
potuk,rm,77
sam,rm,77
lingard,rm,77
ledesma,cdm,77
medran,cm,77
yuri,lb,77
boveda,rb,77
andre almeida,rb,77
gillet,cm,77
refaelov,rw,77
de silvestri,rb,77
behrami,cdm,77
mcarthur,cdm,77
pavoletti,st,77
baiano,rb,77
ze luis,st,77
escudero,lb,77
tatarusanu,gk,77
trejo,cam,77
song,cdm,77
dominguez,cam,77
davies,cb,77
delgado,cam,77
higuain,cam,77
de guzman,cam,77
thauvin,rm,77
alvaro,cb,77
iuri medeiros,rm,77
luis alberto,cam,77
jairo,lm,77
padelli,gk,77
kramaric,st,77
jemerson,cb,77
fajr,cam,77
josue,rm,77
morrison,cam,77
carles gil,rm,77
andujar,gk,77
cigarini,cm,77
vainqueur,cdm,77
britton,cm,77
devic,st,77
usami,lm,77
pejcinovic,cb,77
luis neto,cb,77
dos santos,cb,77
feddal,cb,77
proto,gk,77
chahechouhe,cam,77
rodallega,st,77
fabricio,gk,77
magnanelli,cdm,77
bertolacci,cm,77
niasse,st,77
risse,rm,77
talavera,gk,77
manyisa,cm,76
mccarthy,gk,76
arbeloa,rb,76
fer,cam,76
forsberg,lm,76
tito,rb,76
aritz elustondo,rb,76
el ghazi,rw,76
sig orsson,st,76
marin,cam,76
petersen,st,76
o'shea,cb,76
kone,cam,76
joao pereira,rb,76
guidetti,st,76
briand,st,76
funes mori,st,76
latza,cm,76
sivok,cb,76
isaac becerra,gk,76
naismith,cam,76
pedro obiang,cdm,76
mccormack,st,76
pocognoli,lb,76
miguel rosa,lm,76
cejudo,rm,76
paredes,cdm,76
plasil,cm,76
marshall,gk,76
mcauley,cb,76
cassio,gk,76
vukovic,cb,76
victor sanchez,cdm,76
andre horta,cm,76
saul berjon,lm,76
jedinak,cdm,76
ivan ramis,cb,76
kaniboloskyi,gk,76
bejlland,cb,76
oczipka,lb,76
lehmann,cdm,76
gelson fernandes,cdm,76
cardozo,st,76
bamba anderson,cb,76
kweuke,st,76
david simon,rb,76
pjaca,lw,76
seleznyov,st,76
korb,rb,76
naldo,cb,76
marveaux,cam,76
carlos mane,rm,76
borus,gk,76
hassan,st,76
dendoncker,cdm,76
fornaroli,st,76
westwood,gk,76
mulumbu,cdm,76
babacar,st,76
kone,cb,76
 uricic,cam,76
isla,cdm,76
villar,gk,76
tomkins,cb,76
doka,lm,76
diego capel,lm,76
luiz carlos,cdm,76
henriksen,cam,76
kuyt,cam,76
vukcevic,cdm,76
vogt,cdm,76
joselu,st,76
seferovic,st,76
frei,cm,76
sulejmani,lm,76
heaton,gk,76
milinkovic-savic,cm,76
el zhar,rm,76
barbosa,gk,76
cerci,rw,76
douchez,gk,76
marcal,lb,76
heldon,lw,76
olsson,cb,76
weiser,rb,76
ayite,lm,76
vaclik,gk,76
granero,cm,76
roco,cb,76
duncan,cm,76
angel rangel,rb,76
lemoine,cm,76
ekdal,cm,76
kerzhakov,gk,76
ward,rb,76
konko,rb,76
serey die,cdm,76
mercado,rb,76
fedetskyi,rb,76
gottardi,gk,76
jojic,cm,75
given,gk,75
bargfrede,cdm,75
mannone,gk,75
donati,rb,75
hooper,st,75
ferreyra,st,75
ben-hatira,lm,75
corujo,rb,75
gazzi,cdm,75
fritz,cm,75
izquierdoz,cb,75
kaldirim,lb,75
pereyra,cm,75
inui,lm,75
rensing,gk,75
berisha,gk,75
babin,cb,75
keane,cb,75
jara,rb,75
marrugo,cam,75
d'ambrosio,rb,75
bussmann,lb,75
ibai gomez,lm,75
kankava,cdm,75
miguel torres,lb,75
paredes,st,75
kohr,cdm,75
kovalenko,cam,75
hernandez,cb,75
muto,st,75
denswil,cb,75
room,gk,75
beric,st,75
redmond,rm,75
ryder,st,75
grifo,lm,75
bartels,rm,75
tono,lb,75
fabio espinho,cam,75
lowton,rb,75
ricca,lb,75
zengin,gk,75
nguyen,cam,75
naughton,rb,75
mvogo,gk,75
hurmaci,cam,75
vazquez,cdm,75
mathis,cdm,75
athanasiadis,st,75
afonso figueiredo,lb,75
zeca,cm,75
harnik,rm,75
juan jesus,lb,75
cervi,lm,75
araujo,st,75
kolar,cam,75
guaita,gk,75
danze,rb,75
moralez,cf,75
galvez,cb,75
mendy,lb,75
hanni,cam,75
squillaci,cb,75
acuna,lm,75
vives,cdm,75
griffiths,st,75
forlin,cb,75
gilardino,st,75
hubner,cb,75
mcgregor,gk,75
gashi,lm,75
tiago rodrigues,cm,75
carmona,cm,75
howson,cm,75
rog,cam,75
botia,cb,75
amiri,cam,75
sviatchenko,cb,75
videla,cm,75
ovelar,st,75
jara,cb,75
ionita,cm,75
cardinale,gk,75
el ahmadi,cm,75
durmaz,lm,75
gerard moreno,st,75
juanmi,cam,75
diego castro,cf,75
serantes,gk,75
kisa,cm,75
torje,lm,75
taider,cm,75
juan rodriguez,cdm,75
kebano,cam,75
diamanti,cf,75
castillo,st,75
castro,lw,75
viviani,cm,75
douglas santos,lb,75
berghuis,rw,75
ionov,rm,75
kranjcar,cm,75
mangani,cm,75
yeom ki kun,lm,75
balanta,cb,75
jedvaj,rb,75
omar ramos,rb,74
ignjovski,rb,74
konate,st,74
orio romeu,cdm,74
lopo,cb,74
villalba,rm,74
lanzarote,rm,73
murray,st,73
olic,st,73
makola,cam,73
vargas,gk,73
joan roman,lm,73
gulacsi,gk,73
blake,gk,72
aketxe,lm,72
lazarevic,lm,72
smith,cb,72
caktas,cam,72
klostermann,rb,72
kobin,rb,72
tomlin,cam,72
noone,rm,72
al hussien,cam,72
ajagun,cam,72
kverkvelia,cb,72
pesyakov,gk,72
mcnair,cdm,72
jones,rb,71
busk,gk,71
fernandez,gk,71
faty,cdm,71
ebecilio,cam,71
bensebaini,lb,71
nogueira,cdm,71
figueroa,cm,71
makeev,cb,71
achahbar,st,70
paurevic,cdm,70
carlos david,cb,70
salazar,rb,70
andre moreira,gk,70
occean,st,69
wakalible,rm,69
halsti,cdm,69
kochenkov,gk,69
ince,cdm,69
mrcela,cb,69
joao teixeira,lw,69
ceylan,gk,68
o'grady,st,68
dudu,rw,68
feltscher,rb,68
jaime gavilan,cm,67
ghoddos,cam,67
gamboa,lm,67
mac-intosch,cb,67
frankowski,rm,67
moretti,cm,67
dembele,st,67
bettinelli,gk,66
elsneg,cam,66
borring,lm,66
sordell,st,66
sand,st,74
el hamdaoui,st,73
stieber,rm,73
andre claro,st,73
selke,st,73
maduro,cdm,73
buitrago,cam,72
landre,cb,72
ze manuel,st,72
hansen,gk,72
agazzi,gk,72
gruezo,cdm,72
kitsiou,rb,72
seoane,cdm,72
leipertz,rm,72
dyego sousa,st,72
moreno,cdm,72
nugent,st,72
kike sola,st,72
viera,gk,72
vranjes,cb,72
fuentes,cam,71
colin,rb,71
brozek,st,71
ferrari,cb,71
lee,cm,71
raillo,cb,71
arango,rm,71
castellanos,gk,71
leandro silva,cm,71
bassi,gk,71
cikalleshi,st,71
paulo tavares,cm,71
royer,lm,71
pesic,st,71
martos,cb,71
tarkowski,cb,71
de la cuesta,cb,71
murawski,cdm,71
katsikas,cb,71
kashi,cdm,71
politsevich,cb,71
ward,lw,71
shibasaki,cam,71
guitian,cb,71
llanos,st,71
guerrero,cdm,71
al dawsari,rm,71
brighi,cm,71
beevers,cb,71
maniero,st,71
borja lopez,cb,71
jimenez,gk,71
shibasaki,cm,71
sow,cdm,70
ubilla,rw,70
rodriguez,rb,70
carlos ruiz,cb,70
giannetti,st,70
dani guiza,st,70
hall,cb,70
murphy,lm,70
ikeme,gk,70
boswell,cb,70
riviere,st,70
donati,cdm,70
bertolo,rm,70
moiraghi,cb,70
tipton,lb,70
yattara,st,70
powell,cam,70
dallas,lm,70
moreno,st,70
marusic,rm,70
zaldivar,st,70
milinkovic,lm,70
dezi,cm,70
heylen,cb,70
verre,cm,70
longhi,lb,70
yabo,cm,70
meneses,rm,70
clerc,lb,70
lod,cam,70
chatziisaias,cb,70
opazo,rb,69
bergougnoux,cam,69
rosales,lm,69
mokhtar,lw,69
bateau,cb,69
german,cb,69
sheshukov,cdm,69
orlishausen,gk,69
balaj,st,69
afif,lw,69
isaac carcelen,rb,69
marcondes,cam,69
sciaudone,cm,69
tie bi,cdm,69
skubic,rb,69
taylor,cb,69
hutchinson,cb,69
nunez,rw,69
castro,cdm,69
paqarada,lb,69
teixeira,lb,69
maupay,st,69
matthys,rm,69
diarra,lm,69
vlasov,cam,69
cappone,gk,69
degirmenci,gk,69
veselinovic,st,69
brattan,cdm,69
coutinho,gk,69
haggui,cb,69
davies,cm,69
orozco,cb,69
cetto,cb,69
morsy,cdm,69
mowatt,cam,69
trajkovski,st,69
miljkovic,rb,68
morisbak skjonsberg,cb,68
peralta,cb,68
petrovic,lb,68
court,lm,68
toledo,cm,68
afonso taira,cm,68
cros,gk,68
zaseev,cdm,68
amos,gk,68
oto'o,rb,68
cavlan,lb,68
sosa,cam,68
aguilar,rb,68
tiago caeiro,st,68
tyronne,rm,68
catano,cam,68
anene,st,68
cocco,st,68
lamprou,gk,68
schiavone,cm,68
roberts,rm,68
vasquez,cam,68
putnocky,gk,68
hector yuste,cdm,68
sam,rb,68
birighitti,gk,68
nunez,rb,68
hasegawa,cm,68
tafer,rm,68
omar perdomo,lm,68
raul camara,rm,68
mason,st,68
harbottle,lw,68
loeschbor,cb,68
banggaard,cb,68
kiernan,cb,68
munoz,rw,68
philp,rb,68
romero,lb,68
raul,cb,68
bakenga,st,68
camporese,cb,68
sharahili,gk,68
hoegh,cb,68
loftus-cheek,cam,68
pich,lm,67
pedro pereira,rb,67
newell,lm,67
retsos,cb,67
carlos blanco,cb,67
jacobo,lm,67
broadfoot,cb,67
chavez,cb,67
lolley,rm,67
morioka,cam,67
schembri,st,67
eneko capilla,cam,67
alphonse,rb,67
veerman,st,67
lozano,cb,67
moncur,cam,67
sukuta-pasu,st,67
edgar hernandez,st,67
s varsson,rb,67
mantom,cm,67
schoppenhauer,cb,67
holding,cb,67
povea,cm,67
foley,rb,67
aramu,rw,67
robson-kanu,lm,67
bayramyan,rm,67
zavaleta,cb,67
gallardo,lm,67
santamaria,gk,67
hamoud,lb,67
altinay,cdm,67
lobantsev,gk,67
downing,cb,67
depetris,st,67
alejandro rodriguez,st,67
mervo,st,67
ba,rm,67
cools,cdm,67
burchert,gk,67
van der steen,gk,67
calisir,cb,67
mckenzie,rm,67
bourillon,cdm,67
micai,gk,67
ganz,st,67
mosquera,lb,67
ericsson,cam,67
zuniga,st,67
jonasson,cb,67
ponce,cb,67
clough,cam,67
hoggas,cam,67
escalona,cb,67
rusike,st,67
ekobo,cdm,66
mcfadden,st,66
sanneh,cb,66
mackiewicz,lm,66
hoibraten,cb,66
adler,lm,66
aoki,cdm,66
svendsen,st,66
mills,lb,66
evans,cm,66
fernandez,lm,66
riviere,st,66
mytides,st,66
arrechea,cb,66
gil,cm,66
esparza,lm,66
ranger,st,66
uludag,lb,66
scott,cb,66
carrasco,cdm,66
palacios,cdm,66
wallace,cm,66
al buraik,rb,66
ivan sanchez,lm,66
scougall,cm,66
avevor,cdm,66
teber,lb,66
ferati,cb,66
avila,cdm,66
warner,cdm,66
pedro junior,cf,66
young,gk,66
ketting,cb,66
hernandez,lb,66
barraza,st,66
friberg,cm,66
kemen,cm,66
maeda,st,66
lowe,cm,66
watanabe,cb,66
formella,rm,66
netzer,cdm,66
sobottka,cdm,66
douglas,cm,66
khagush,rb,66
cases,cam,66
dufour,cm,66
nestor,cb,66
fall,rm,66
coppinger,rm,66
nuhiu,st,66
balanta,cb,66
heerkens,rb,66
grant,cb,66
bjelica,cb,66
fortes,cdm,66
scobbie,cb,66
lomb,gk,66
huntington,cb,66
smith,rb,66
lefevre,cb,66
andre bahia,cb,66
maddison,rm,66
white,cb,66
zhang yuning,st,66
avellaneda,gk,66
okuno,rm,66
booth,lb,66
cuvelier,cm,66
mthembu,st,66
sturgis,cdm,66
kawano,rm,66
depe,lm,65
aigner,st,65
cremonesi,cb,65
etheridge,gk,65
jonassen,lb,65
vargas,gk,65
dibba,st,65
patronen,cb,65
da silva,cf,65
taylor,st,65
rasic,st,65
gojani,cm,65
civelek,cam,65
faivre,cb,65
deleu,rb,65
hopcutt,cam,65
brands,cam,65
sheilds,cdm,65
washington,st,65
muller,lb,65
rui sacramento,gk,65
kafkasyali,gk,65
rocher,lm,65
khutumela,st,65
nasu,cb,65
mickel,gk,65
fabinho,lm,65
archibald-henville,cb,65
kikuchi,cm,65
orellana,rw,65
dzhikiya,lb,65
powell,lm,65
babayan,lm,65
rivas,lm,65
mccarthy,gk,65
tierney,lb,65
boguski,rm,65
alvarinho,lm,65
lacazette,cdm,65
pazio,rb,65
marcelo,cb,65
sepulveda,cdm,65
kuster,gk,65
benning,lb,65
astina,lm,65
ceballos,cdm,65
swanson,rm,65
slidja,st,65
leyton,cm,65
dawson,rm,65
brandan,rm,65
seaborne,cb,65
asad,rm,65
meza,cb,65
cisse,st,65
jeggo,cm,65
nagaki,cdm,65
hyndman,cm,65
ortiz,cdm,65
salugin,st,65
novak,lb,65
gonzalez,st,64
durakovic,gk,57
alho,rw,63
bin kharallah,rm,63
allen,cm,63
modic,cm,63
hwang soon min,cdm,62
kantarovski,cdm,62
kim dong hee,lm,62
healey,st,62
song si woo,rw,61
sellars,lm,61
karlsson lagemyr,lm,61
edmundsson,rm,61
okada,rm,61
munns,lm,61
johnson,lb,61
lee in soo,gk,61
smuczynski,lm,60
grant,cm,60
kawabe,cdm,60
coulson,cb,60
agyei,st,60
sachpekidis,lm,60
dyngeland,gk,60
sachpekidis,lm,60
dyngeland,gk,60
furlong,cam,59
cameron,cb,59
stryjek,cb,58
charrier,cm,58
caicedo,cam,58
martinsen,cb,57
siemaszko,st,56
okwi,st,56
barkhuizen,rm,55
cameron,lm,55
race,rb,55
tierney,st,54
brodersen,gk,54
al hajji,rm,53
calder,cm,53