PLAYER_NAME,DIST_MILES_OFF,DIST_MILES_DEF,AVG_SPEED_OFF,AVG_SPEED_DEF
DeMarcus Cousins_202326_Sacramento Kings_1610612758,1.07,1.01,3.83,3.39
Stephen Curry_201939_Golden State Warriors_1610612744,1.34,1.1,5.05,3.58
James Harden_201935_Houston Rockets_1610612745,1.27,1.15,4.12,3.48
Damian Lillard_203081_Portland Trail Blazers_1610612757,1.41,1.06,4.64,3.65
Kevin Durant_201142_Oklahoma City Thunder_1610612760,1.21,1.04,4.18,3.37
Anthony Davis_203076_New Orleans Pelicans_1610612740,1.23,1.1,4.28,3.58
LeBron James_2544_Cleveland Cavaliers_1610612739,1.24,1.04,4.06,3.62
Carmelo Anthony_2546_New York Knicks_1610612752,1.22,1.0,4.02,3.54
Russell Westbrook_201566_Oklahoma City Thunder_1610612760,1.28,1.08,4.61,3.61
Paul George_202331_Indiana Pacers_1610612754,1.32,1.13,4.59,3.86
CJ McCollum_203468_Portland Trail Blazers_1610612757,1.48,1.09,5.01,3.87
DeMar DeRozan_201942_Toronto Raptors_1610612761,1.42,1.03,4.48,3.64
John Wall_202322_Washington Wizards_1610612764,1.28,1.1,4.42,3.53
Klay Thompson_202691_Golden State Warriors_1610612744,1.27,1.11,4.87,3.76
Blake Griffin_201933_Los Angeles Clippers_1610612746,1.12,0.98,4.05,3.48
Brandon Knight_202688_Phoenix Suns_1610612756,1.4,1.18,4.7,3.91
Isaiah Thomas_202738_Boston Celtics_1610612738,1.24,1.01,4.84,3.57
Kobe Bryant_977_Los Angeles Lakers_1610612747,1.02,0.84,4.18,3.72
Kyrie Irving_202681_Cleveland Cavaliers_1610612739,1.18,0.93,4.35,3.71
Kemba Walker_202689_Charlotte Hornets_1610612766,1.39,1.07,4.65,3.62
Dwyane Wade_2548_Miami Heat_1610612748,1.14,0.9,4.33,3.64
Nikola Vucevic_202696_Orlando Magic_1610612753,1.1,0.96,4.18,3.7
Andrew Wiggins_203952_Minnesota Timberwolves_1610612750,1.25,1.09,4.32,3.69
Derrick Rose_201565_Chicago Bulls_1610612741,1.22,1.03,4.63,3.85
Eric Bledsoe_202339_Phoenix Suns_1610612756,1.3,1.11,4.67,3.84
Brook Lopez_201572_Brooklyn Nets_1610612751,1.15,1.06,4.09,3.77
Reggie Jackson_202704_Detroit Pistons_1610612765,1.15,0.96,4.5,3.72
Kyle Lowry_200768_Toronto Raptors_1610612761,1.39,1.05,4.3,3.6
Jimmy Butler_202710_Chicago Bulls_1610612741,1.42,1.21,4.61,3.95
Kawhi Leonard_202695_San Antonio Spurs_1610612759,1.35,1.07,4.73,4.04
Chris Paul_101108__1610612746,1.15,0.98,4.25,3.57
Gordon Hayward_202330_Utah Jazz_1610612762,1.46,1.08,4.61,3.75
Dirk Nowitzki_1717_Dallas Mavericks_1610612742,1.05,0.88,3.9,3.44
Jahlil Okafor_1626143_Philadelphia 76ers_1610612755,1.1,0.92,4.19,3.89
Bradley Beal_203078_Washington Wizards_1610612764,1.17,1.05,4.69,3.91
Khris Middleton_203114_Milwaukee Bucks_1610612749,1.29,1.17,4.4,3.78
Chris Bosh_2547_Miami Heat_1610612748,1.14,0.96,4.04,3.47
Rudy Gay_200752_Sacramento Kings_1610612758,1.23,1.12,4.46,3.86
Jrue Holiday_201950_New Orleans Pelicans_1610612740,1.13,0.93,5.06,3.77
LaMarcus Aldridge_200746_San Antonio Spurs_1610612759,1.12,0.93,4.25,3.81
Karl-Anthony Towns_1626157_Minnesota Timberwolves_1610612750,1.11,1.02,4.25,3.75
Ryan Anderson_201583_New Orleans Pelicans_1610612740,1.1,0.94,4.46,3.56
Jordan Clarkson_203903_Los Angeles Lakers_1610612747,1.28,1.06,4.56,4.08
Pau Gasol_2200_Chicago Bulls_1610612741,1.11,0.93,4.17,3.52
Marc Gasol_201188_Memphis Grizzlies_1610612763,1.12,0.94,3.74,3.4
Avery Bradley_202340_Boston Celtics_1610612738,1.18,1.19,4.46,4.03
Victor Oladipo_203506_Orlando Magic_1610612753,1.31,1.13,4.81,4.1
Zach Randolph_2216_Memphis Grizzlies_1610612763,1.0,0.89,3.88,3.73
Emmanuel Mudiay_1626144_Denver Nuggets_1610612743,1.26,0.96,4.98,3.77
Danilo Gallinari_201568_Denver Nuggets_1610612743,1.26,1.0,4.28,3.51
Thaddeus Young_201152_Brooklyn Nets_1610612751,1.25,1.08,4.53,3.92
Paul Millsap_200794_Atlanta Hawks_1610612737,1.2,1.06,4.49,3.8
Derrick Favors_202324_Utah Jazz_1610612762,1.19,0.95,4.22,3.77
Andre Drummond_203083_Detroit Pistons_1610612765,1.11,1.02,4.07,3.68
Al Horford_201143__1610612737,1.13,1.01,4.38,3.63
Kevin Love_201567_Cleveland Cavaliers_1610612739,1.11,0.96,4.13,3.76
Giannis Antetokounmpo_203507_Milwaukee Bucks_1610612749,1.29,1.13,4.47,3.74
Monta Ellis_101145_Indiana Pacers_1610612754,1.23,1.04,4.4,3.69
Kentavious Caldwell-Pope_203484_Detroit Pistons_1610612765,1.35,1.19,4.41,3.87
Tyreke Evans_201936__1610612740,1.14,0.9,4.57,3.43
Ish Smith_202397__1610612740,1.25,0.98,5.19,4.0
Nicolas Batum_201587_Charlotte Hornets_1610612766,1.38,1.12,4.71,3.87
Mike Conley_201144_Memphis Grizzlies_1610612763,1.25,0.98,4.61,3.88
Jeff Teague_201952_Atlanta Hawks_1610612737,1.03,0.86,4.42,3.51
Rodney Hood_203918_Utah Jazz_1610612762,1.26,0.95,4.46,3.75
Kristaps Porzingis_204001_New York Knicks_1610612752,1.05,0.87,4.33,3.75
Goran Dragic_201609_Miami Heat_1610612748,1.37,1.03,4.88,3.86
Eric Gordon_201569_New Orleans Pelicans_1610612740,1.23,1.04,4.63,3.67
Will Barton_203115_Denver Nuggets_1610612743,1.1,0.9,4.6,3.73
D'Angelo Russell_1626156_Los Angeles Lakers_1610612747,1.14,0.91,4.65,3.97
Greg Monroe_202328_Milwaukee Bucks_1610612749,0.95,0.95,3.96,3.81
Deron Williams_101114_Dallas Mavericks_1610612742,1.31,0.98,4.76,3.68
Jamal Crawford_2037__1610612746,0.95,0.8,4.19,3.6
Marcus Morris_202694_Detroit Pistons_1610612765,1.32,1.12,4.42,3.76
Jabari Parker_203953_Milwaukee Bucks_1610612749,1.23,1.1,4.78,4.06
Evan Fournier_203095_Orlando Magic_1610612753,1.32,1.08,4.92,3.95
JJ Redick_200755_Los Angeles Clippers_1610612746,1.12,0.95,4.86,4.0
Zach LaVine_203897_Minnesota Timberwolves_1610612750,1.05,0.96,4.59,4.06
Tobias Harris_202699_Detroit Pistons_1610612765,1.29,1.06,4.71,3.86
Devin Booker_1626164_Phoenix Suns_1610612756,1.04,0.91,4.49,3.93
Arron Afflalo_201167_New York Knicks_1610612752,1.3,1.01,4.53,3.76
Markieff Morris_202693_Washington Wizards_1610612764,0.86,0.76,4.14,3.51
Jarrett Jack_101127__1610612751,1.21,1.01,4.49,3.78
Serge Ibaka_201586_Oklahoma City Thunder_1610612760,1.1,0.99,4.22,3.59
Jae Crowder_203109_Boston Celtics_1610612738,1.12,1.05,4.49,3.77
J.R. Smith_2747_Cleveland Cavaliers_1610612739,1.1,0.95,4.19,3.83
Wesley Matthews_202083_Dallas Mavericks_1610612742,1.3,1.06,4.51,3.84
Rajon Rondo_200765_Sacramento Kings_1610612758,1.26,1.13,4.4,3.71
Alec Burks_202692__1610612762,0.98,0.82,4.41,3.93
Norris Cole_202708__1610612740,1.06,0.85,4.96,3.67
Al Jefferson_2744__1610612766,0.81,0.71,4.09,3.72
Chandler Parsons_202718_Dallas Mavericks_1610612742,1.16,0.9,4.67,3.74
Robert Covington_203496_Philadelphia 76ers_1610612755,1.07,0.92,4.5,3.91
Joe Johnson_2207__1610612748,1.27,1.02,4.52,3.68
Trevor Ariza_2772_Houston Rockets_1610612745,1.18,1.17,4.16,3.83
Darren Collison_201954_Sacramento Kings_1610612758,1.09,1.01,4.45,3.95
DeMarre Carroll_201960_Toronto Raptors_1610612761,1.11,0.93,4.06,4.02
Lou Williams_101150_Los Angeles Lakers_1610612747,1.01,0.82,4.19,3.51
Julius Randle_203944_Los Angeles Lakers_1610612747,1.05,0.84,4.29,3.71
Jeff Green_201145_Los Angeles Clippers_1610612763,1.0,0.86,4.15,3.7
Michael Carter-Williams_203487_Milwaukee Bucks_1610612749,1.2,1.04,4.86,3.98
Michael Beasley_201563_Houston Rockets_1610612745,0.67,0.63,4.68,3.88
Marcin Gortat_101162_Washington Wizards_1610612764,1.1,0.99,4.58,3.79
Luol Deng_2736_Miami Heat_1610612748,1.27,1.02,4.57,3.89
Gary Harris_203914_Denver Nuggets_1610612743,1.19,1.05,4.47,3.89
Draymond Green_203110_Golden State Warriors_1610612744,1.18,1.05,4.38,3.41
Elfrid Payton_203901_Orlando Magic_1610612753,1.17,1.07,4.82,4.27
Jared Sullinger_203096_Boston Celtics_1610612738,0.79,0.73,4.16,3.52
George Hill_201588_Indiana Pacers_1610612754,1.27,1.09,4.49,3.83
Trey Burke_203504__1610612762,0.87,0.67,4.66,3.93
CJ Miles_101139__1610612754,0.82,0.7,4.33,3.65
Tony Parker_2225_San Antonio Spurs_1610612759,1.22,0.86,5.08,3.93
Mirza Teletovic_203141_Phoenix Suns_1610612756,0.83,0.65,4.66,3.64
Dennis Schroder_203471_Atlanta Hawks_1610612737,0.78,0.71,4.82,4.01
Kent Bazemore_203145_Atlanta Hawks_1610612737,1.04,1.0,4.66,4.16
Otto Porter_203490_Washington Wizards_1610612764,1.17,1.07,4.87,4.03
Jose Juan Barea_200826_Dallas Mavericks_1610612742,0.9,0.7,4.71,3.81
Harrison Barnes_203084_Golden State Warriors_1610612744,1.2,1.06,4.87,3.92
Bojan Bogdanovic_202711_Brooklyn Nets_1610612751,0.99,0.88,4.41,3.95
Isaiah Canaan_203477_Philadelphia 76ers_1610612755,0.95,0.8,4.34,3.87
TJ Warren_203933_Phoenix Suns_1610612756,0.87,0.79,4.55,4.19
Marco Belinelli_201158_Sacramento Kings_1610612758,0.99,0.77,4.83,3.73
Kenneth Faried_202702_Denver Nuggets_1610612743,0.94,0.79,4.38,3.81
Evan Turner_202323_Boston Celtics_1610612738,1.0,0.88,4.41,3.65
Jeremy Lin_202391_Charlotte Hornets_1610612766,1.03,0.83,4.66,3.84
Hassan Whiteside_202355_Miami Heat_1610612748,1.0,0.87,4.02,3.68
Nikola Mirotic_202703_Chicago Bulls_1610612741,0.92,0.8,4.46,3.82
Marvin Williams_101107_Charlotte Hornets_1610612766,1.12,0.89,4.63,3.72
Matt Barnes_2440_Memphis Grizzlies_1610612763,1.13,0.91,4.63,3.82
Dion Waiters_203079__1610612760,0.95,0.85,4.14,3.67
Omri Casspi_201956_Sacramento Kings_1610612758,1.04,0.89,4.73,3.81
Ersan Ilyasova_101141_Orlando Magic_1610612753,0.96,0.79,4.54,3.7
Jonas Valanciunas_202685_Toronto Raptors_1610612761,0.96,0.77,4.16,3.82
Marcus Thornton_201977_Houston Rockets_1610612745,0.66,0.6,4.41,3.85
Myles Turner_1626167_Indiana Pacers_1610612754,0.87,0.74,4.6,3.87
Hollis Thompson_203138_Philadelphia 76ers_1610612755,1.08,0.94,4.54,4.07
Al-Farouq Aminu_202329__1610612757,1.14,0.92,4.73,3.92
Nerlens Noel_203457_Philadelphia 76ers_1610612755,1.1,0.93,4.42,3.86
Sean Kilpatrick_203930_Brooklyn Nets_1610612751,0.74,0.65,4.56,3.87
Enes Kanter_202683_Oklahoma City Thunder_1610612760,0.84,0.66,4.72,3.79
Marcus Smart_203935_Boston Celtics_1610612738,0.98,0.9,4.48,3.79
Terrence Ross_203082__1610612761,0.94,0.77,4.52,3.99
Raymond Felton_101109_Dallas Mavericks_1610612742,1.03,0.85,4.37,3.8
Gerald Green_101123_Miami Heat_1610612748,0.84,0.74,4.38,3.96
Dwight Howard_2730_Houston Rockets_1610612745,1.06,0.99,4.09,3.54
Jerryd Bayless_201573_Milwaukee Bucks_1610612749,1.03,0.91,4.31,3.76
Patrick Beverley_201976__1610612745,1.14,1.01,4.95,4.04
Allen Crabbe_203459_Portland Trail Blazers_1610612757,1.02,0.82,4.64,3.85
Shabazz Muhammad_203498_Minnesota Timberwolves_1610612750,0.74,0.72,4.42,4.16
Stanley Johnson_1626169_Detroit Pistons_1610612765,0.9,0.78,4.66,4.05
Gary Neal_202390__1610612764,0.73,0.67,4.56,3.81
Courtney Lee_201584_Charlotte Hornets_1610612763,1.1,0.95,4.35,3.96
Robin Lopez_201577_New York Knicks_1610612752,1.02,0.83,4.37,3.82
Kelly Olynyk_203482_Boston Celtics_1610612738,0.79,0.64,4.79,3.7
Alex Len_203458_Phoenix Suns_1610612756,0.85,0.72,4.31,3.72
Shelvin Mack_202714__1610612762,0.89,0.64,5.04,3.94
Doug McDermott_203926_Chicago Bulls_1610612741,0.93,0.79,4.86,4.09
Luis Scola_2449_Toronto Raptors_1610612761,0.86,0.67,4.48,4.06
Jameer Nelson_2749__1610612743,0.99,0.77,4.44,3.48
O.J. Mayo_201564_Milwaukee Bucks_1610612749,0.9,0.88,4.21,3.82
Jerami Grant_203924_Philadelphia 76ers_1610612755,1.06,0.9,4.69,4.04
Jeremy Lamb_203087_Charlotte Hornets_1610612766,0.74,0.61,4.7,4.01
Ricky Rubio_201937_Minnesota Timberwolves_1610612750,1.16,1.01,4.61,3.9
Austin Rivers_203085_Los Angeles Clippers_1610612746,0.82,0.74,4.48,4.04
Kyle Korver_2594_Atlanta Hawks_1610612737,1.14,1.01,4.7,3.9
Rodney Stuckey_201155_Indiana Pacers_1610612754,0.76,0.67,4.18,3.64
Patty Mills_201988_San Antonio Spurs_1610612759,0.92,0.7,5.27,4.14
Jusuf Nurkic_203994_Denver Nuggets_1610612743,0.62,0.55,4.4,3.77
Kevin Martin_2755_San Antonio Spurs_1610612750,0.72,0.64,4.27,3.87
Jordan Hill_201941_Indiana Pacers_1610612754,0.73,0.64,4.14,3.8
Nikola Jokic_203999_Denver Nuggets_1610612743,0.81,0.68,4.55,3.71
Aaron Gordon_203932__1610612753,1.0,0.81,5.05,3.96
Manu Ginobili_1938_San Antonio Spurs_1610612759,0.74,0.61,4.47,3.79
Nik Stauskas_203917_Philadelphia 76ers_1610612755,1.0,0.83,4.73,4.1
Wayne Ellington_201961_Brooklyn Nets_1610612751,0.83,0.71,4.6,4.04
Gerald Henderson_201945_Portland Trail Blazers_1610612757,0.79,0.63,4.66,3.91
Mo Williams_2590__1610612739,0.69,0.56,4.36,3.84
Archie Goodwin_203462_Phoenix Suns_1610612756,0.75,0.65,4.64,4.0
Tony Allen_2754_Memphis Grizzlies_1610612763,0.9,0.83,4.19,4.03
Terrence Jones_203093_Houston Rockets_1610612745,0.75,0.68,4.38,3.81
Mario Chalmers_201596_Memphis Grizzlies_1610612763,0.85,0.66,4.48,3.54
Cory Joseph_202709__1610612761,1.05,0.83,4.73,4.09
Tim Duncan_1495_San Antonio Spurs_1610612759,0.86,0.72,3.93,3.61
Toney Douglas_201962_New Orleans Pelicans_1610612740,0.87,0.74,5.14,4.19
Ramon Sessions_201196_Washington Wizards_1610612764,0.75,0.67,4.61,3.77
